Name,Price
"HP Envy 15.6"" Full HD X360, AMD Ryzen 5 4500U, AMD Radeon Graphics, 8GB SDRAM, 256GB SSD, Nightfall Black, Windows 10, 15-ds1010wm",599
"EVOO Gaming Laptop 15"" FHD 144Hz Display, THX Spatial Audio, Tuned by THX Display, 9th Gen Intel i7-9750H, Nvidia GTX 1650, 256GB SSD, 16GB Memory, Windows 10 Home, Black",829
"Acer Spin 1, 11.6"" HD Touch, Intel Pentium Silver N5000, 4GB LPDDR4, 64GB eMMC, Office 365 Personal, Windows 10 in S mode, SP111-33-P1XD",249
"EVOO 11.6"" Ultra Thin Laptop, AMD A4-9120 Processor, 32GB Storage, 2GB, Mini HDMI, Front Camera, Windows 10 Home, Includes Office 365 Personal for One Year(A$69.99 Value)",119
"Lenovo ideapad S145 15.6"" Laptop, Intel Core i3-1005G1 Dual-Core Processor, 4GB Memory, 128GB Solid State Drive, Windows 10 - Dark Orchid - 81W800K3US",299
"Lenovo ideapad S540 14.0"" Touch Laptop, Intel Core i5-10210U Quad-Core Processor, 8GB Memory, 256GB Solid State Drive, Windows 10 - Mineral Grey - 81V00001US",589
"Acer Spin 1 , 11.6"" Full HD Touch Notebook, Intel Pentium N4200, Intel HD Graphics, 4GB, 64GB HDD, SP111-32N-P6CV",269
"ASUS VivoBook 15.6"" FHD Display, AMD Ryzen 3 3200U, 4GB DDR4, 128GB SSD, Windows 10 Home in S mode, Slate Gray, F512DA-WH31",299
"Acer 315 15.6"" Celeron 4GB/32GB Chromebook, 15.6"" HD Display, Intel Celeron N4000, 4GB LPDDR4, 32GB eMMC, Protective Sleeve, Chrome OS - CB315-3H-C2C3",179
"HP 15 Laptop, Intel Core i3-1005G1, 4GB SDRAM, 128GB SSD, Natural Silver, 15-dy1024wm",409
"Lenovo C340 11"" Celeron Touch 4GB/32GB Chromebook, 11.6"" HD Touch Display, Intel Celeron N4000 Dual-Core Processor, 4GB Memory, 32GB eMMC Solid State Drive, Chrome OS - Platinum Grey - 81TA0010US",259
"Acer CB3-532-C47C 15.6"" Chromebook, Intel Celeron N3060 Dual-Core Processor, 2GB RAM, 16GB Internal Storage, Chrome OS",234
"Dell Chromebook - 11.6"" - Celeron N2840 - 4 GB RAM - 16 GB SSD - English (Refurbished)",145
"HP Stream 14 Laptop, Intel Celeron N4000, 4GB SDRAM, 32GB eMMC, Office 365 1-yr, Brilliant Black",285
"Refurbished Acer C720-2844 11.6"" Google Chromebook Notebook Laptop 4GB RAM 16GB SSD",142
"Acer Swift 1, 14"" Full HD Notebook, Intel Pentium Silver N5000, 4GB, 64GB SSD, Windows 10 Home in S mode, Office 365 Personal 1-Year, SF114-32-P2PK",279
